Date,Open,High,Low,Close,Points_Change,Change_Pct,Volume_Cr,Turnover_Rs_Cr,PE,PB,Div_Yield,Daily_Return
2023-09-01,26858.22,27099.27,26851.19,27079.48,230.72,0.86,82.04,9321.69,24.08,3.41,1.26,0.008593320510891456
2023-09-04,27151.77,27254.47,27127.4,27237.14,157.66,0.58,40.52,3964.85,24.23,3.44,1.25,0.005822120661105767
2023-09-05,27277.94,27373.01,27276.61,27353.85,116.71,0.43,34.17,3801.11,24.25,3.44,1.25,0.004284957965483782
2023-09-06,27366.46,27423.75,27268.41,27401.79,47.94,0.18,37.11,4240.84,24.26,3.44,1.25,0.0017525869301762143
2023-09-07,27407.71,27572.44,27380.74,27558.08,156.29,0.57,30.58,3649.95,24.48,3.47,1.24,0.005703641988351826
2023-09-08,27614.39,27768.6,27602.0,27718.99,160.91,0.58,33.04,4549.13,24.73,3.51,1.23,0.00583894088412551
2023-09-11,27813.07,27987.79,27806.3,27976.63,257.64,0.93,37.71,4294.8,24.9,3.53,1.23,0.009294710954475649
2023-09-12,28116.14,28128.9,27622.33,27677.59,-299.04,-1.07,53.83,6229.96,24.63,3.49,1.24,-0.010688921431923792
2023-09-13,27646.36,27803.53,27527.81,27781.84,104.25,0.38,38.25,4047.73,24.7,3.5,1.23,0.003766585168723191
2023-09-14,27875.49,27976.96,27816.64,27904.05,122.21,0.44,28.0,3405.18,24.78,3.51,1.23,0.004398916702421429
2023-09-15,27975.53,28043.32,27937.78,28008.55,104.5,0.37,46.62,3358.78,24.9,3.53,1.22,0.0037449760877006355
2023-09-18,27985.58,28014.8,27899.9,27917.97,-90.58,-0.32,44.11,3468.46,25.07,3.54,1.22,-0.003234012471191816
2023-09-20,27766.72,27856.47,27617.13,27661.22,-256.75,-0.92,27.69,3590.93,24.89,3.52,1.23,-0.009196585568363336
2023-09-21,27591.83,27620.89,27382.47,27428.96,-232.26,-0.84,25.58,2998.41,24.71,3.49,1.24,-0.00839659277501148
2023-09-22,27426.28,27521.65,27309.0,27356.12,-72.84,-0.27,27.81,3259.32,24.65,3.48,1.25,-0.0026555873791788143
