Date,Open,High,Low,Close,Daily_Return
2022-06-09,13816.7,13989.0,13790.0,13977.1,0.006495330131274901
2022-06-10,13825.0,13860.05,13757.95,13781.75,-0.013976432879495793
2022-06-13,13521.2,13527.75,13356.2,13416.9,-0.026473415930487798
2022-06-14,13341.95,13506.5,13324.15,13388.3,-0.002131639946634456
2022-06-15,13412.2,13448.45,13366.75,13380.85,-0.0005564560100982385
2022-06-16,13508.7,13527.8,13064.05,13089.2,-0.021796074240425622
2022-06-17,13011.4,13111.95,12903.85,12994.75,-0.007215872627815312
2022-06-20,13026.15,13049.4,12855.55,12950.75,-0.003385982800746423
2022-06-21,13042.8,13275.5,13019.35,13241.9,0.02248132347547438
2022-06-22,13176.1,13184.9,13028.35,13047.75,-0.014661793247192634
2022-06-23,13081.9,13231.9,13021.25,13178.8,0.010043877296851855
2022-06-24,13269.2,13337.7,13247.95,13322.5,0.010903875921935313
2022-06-27,13506.35,13510.8,13432.65,13444.55,0.009161193469694018
2022-06-28,13389.85,13487.5,13330.75,13464.25,0.0014652777519514881
2022-06-29,13337.65,13462.05,13328.2,13417.85,-0.0034461629871697097
2022-06-30,13410.8,13492.15,13352.4,13387.55,-0.0022581859239745317
2022-07-01,13335.25,13422.45,13192.9,13394.45,0.0005154042375192791
2022-07-04,13378.4,13483.7,13337.2,13472.65,0.0058382389721114425
2022-07-05,13533.75,13628.45,13439.4,13461.85,-0.000801624030907
2022-07-06,13472.8,13647.2,13443.35,13631.3,0.012587422976782392
2022-07-07,13736.95,13777.75,13687.55,13765.6,0.009852325163410836
2022-07-08,13873.75,13874.7,13770.9,13828.25,0.004551200092985486
2022-07-11,13771.4,13905.95,13755.75,13886.85,0.004237701806085292
2022-07-12,13823.6,13866.65,13757.3,13779.0,-0.007766340098726565
2022-07-13,13842.8,13861.3,13714.2,13726.95,-0.003777487480949193
2022-07-14,13771.2,13797.6,13617.15,13702.65,-0.001770240293728853
2022-07-15,13761.1,13804.05,13695.2,13790.2,0.006389275067231637
2022-07-18,13883.8,13993.4,13877.6,13984.4,0.014082464358747382
2022-07-19,13922.55,14067.75,13922.35,14051.65,0.004808929950516294
2022-07-20,14220.2,14230.9,14140.0,14164.4,0.008023968715417773
2022-07-21,14172.8,14288.6,14141.65,14271.8,0.007582389652932786
2022-07-22,14325.05,14359.75,14265.25,14336.6,0.004540422371389852
2022-07-25,14307.9,14335.1,14228.15,14279.5,-0.00398281321931282
2022-07-26,14284.7,14286.5,14122.55,14141.45,-0.009667705451871567
2022-07-27,14131.8,14272.2,14099.9,14262.55,0.008563478285465775
2022-07-28,14365.05,14481.45,14330.3,14469.1,0.014481982534680027
2022-07-29,14588.15,14677.75,14553.65,14665.65,0.013584120643301834
2022-08-01,14741.4,14858.3,14666.2,14846.85,0.012355401908541452
2022-08-02,14831.9,14906.0,14765.3,14876.6,0.0020037920501654316
2022-08-03,14880.65,14906.7,14750.75,14878.05,9.746850758896031e-05
2022-08-04,14944.95,14974.7,14688.0,14892.45,0.0009678687731256019
2022-08-05,14933.2,14972.1,14874.25,14900.4,0.0005338275434867423
2022-08-08,14910.6,15009.9,14867.2,14993.35,0.006238087568118944
2022-08-10,15033.3,15033.3,14919.2,14985.8,-0.0005035565767490535
2022-08-11,15123.65,15130.05,15069.9,15095.15,0.0072969077393265636
2022-08-12,15102.8,15162.3,15060.75,15140.55,0.0030075885300908656
2022-08-16,15222.9,15287.45,15203.5,15280.5,0.009243389440938499
2022-08-17,15325.35,15398.45,15306.55,15379.05,0.006449396289388343
2022-08-18,15355.6,15415.25,15325.2,15404.6,0.0016613509937219995
2022-08-19,15426.2,15445.5,15205.55,15236.65,-0.010902587538787145
2022-08-22,15183.1,15186.15,14980.4,15001.75,-0.015416774684724022
2022-08-23,14887.0,15128.25,14879.9,15090.5,0.005915976469411888
2022-08-24,15062.45,15152.45,15037.15,15140.4,0.003306716145919486
2022-08-25,15208.85,15252.8,15075.1,15100.65,-0.0026254260125228024
2022-08-26,15187.1,15242.65,15116.2,15147.55,0.0031058265703793886
2022-08-29,14797.8,15016.25,14793.95,14972.75,-0.011539819970886378
