date,close,high,low,open,volume,adj_close,daily_return,return_zscore
2023-11-15,17508.05078125,17518.900390625,17448.30078125,17493.30078125,27787100,17508.05078125,0.010939173844774608,1.151664035173007
2023-11-16,17593.099609375,17668.650390625,17486.5,17518.099609375,22354800,17593.099609375,0.0048576982776449285,0.4861533751351986
2023-11-17,17600.5,17649.05078125,17528.849609375,17537.44921875,29718400,17600.5,0.00042064166004363024,0.0005954795867217792
2023-11-20,17573.650390625,17636.400390625,17556.099609375,17618.55078125,21843200,17573.650390625,-0.0015255026490724743,-0.21237582472782957
2023-11-21,17627.599609375,17665.0,17617.19921875,17644.5,20175000,17627.599609375,0.0030698925693195545,0.2905094489476364
2023-11-22,17627.69921875,17654.599609375,17533.75,17637.44921875,18139100,17627.69921875,5.650762282316535e-06,-0.04481798351614255
2023-11-23,17639.400390625,17693.25,17627.349609375,17654.150390625,16889200,17639.400390625,0.0006637946183329912,0.02720429910347505
2023-11-24,17643.5,17684.150390625,17631.75,17661.30078125,18055700,17643.5,0.00023241205960600197,-0.020002943319550465
2023-11-28,17741.80078125,17760.0,17665.650390625,17701.05078125,22613200,17741.80078125,0.005571501190239969,0.5642665636622792
2023-11-29,17904.099609375,17911.349609375,17823.44921875,17831.650390625,22418200,17904.099609375,0.009147821583957993,0.955632001121942
2023-11-30,17987.94921875,18007.099609375,17845.900390625,17926.900390625,46145900,17987.94921875,0.004683263118749226,0.46706451151171613
2023-12-01,18115.349609375,18141.650390625,18053.150390625,18061.80078125,24790000,18115.349609375,0.007082541154396882,0.7296233414359012
2023-12-04,18448.5,18460.0,18315.44921875,18422.349609375,29478500,18448.5,0.018390502960681898,1.967081100217126
2023-12-05,18588.55078125,18594.900390625,18453.650390625,18541.30078125,28525000,18588.55078125,0.007591445442718836,0.7853139752432264
2023-12-06,18680.0,18698.80078125,18594.400390625,18677.25,27288500,18680.0,0.004919652953378373,0.49293322595999656
2023-12-07,18703.849609375,18721.80078125,18619.75,18696.75,32793000,18703.849609375,0.001276745683886471,0.09428102476068363
2023-12-08,18703.5,18785.69921875,18588.150390625,18752.25,35541800,18703.5,-1.8691840573015206e-05,-0.047481853742120654
2023-12-11,18770.19921875,18780.44921875,18710.150390625,18726.349609375,29109900,18770.19921875,0.003566135683160887,0.34481453964253095
2023-12-12,18686.80078125,18819.69921875,18635.349609375,18809.900390625,33150900,18686.80078125,-0.004443130119614835,-0.5316588938171843
2023-12-13,18751.44921875,18770.44921875,18601.5,18723.69921875,29800900,18751.44921875,0.0034595776054329175,0.33315363007242615
2023-12-14,18973.849609375,18996.25,18893.75,18906.400390625,39641300,18973.849609375,0.011860437453688366,1.2524801521941569
2023-12-15,19145.05078125,19165.099609375,19020.55078125,19071.94921875,40267000,19145.05078125,0.009023006685496826,0.9419732032626835
2023-12-18,19155.55078125,19201.55078125,19073.099609375,19149.150390625,34119200,19155.55078125,0.000548444614745236,0.014581267706625628
2023-12-19,19169.25,19213.55078125,19067.19921875,19212.55078125,29523800,19169.25,0.0007151566095091599,0.03282496669823795
2023-12-20,18779.44921875,19303.599609375,18727.099609375,19264.400390625,38696000,18779.44921875,-0.02033469130247667,-2.2707110786193074
2023-12-21,18941.80078125,18965.80078125,18582.94921875,18647.849609375,30612700,18941.80078125,0.008645171677234442,0.9006257995021237
2023-12-22,19054.69921875,19089.94921875,18934.75,19011.25,26069600,19054.69921875,0.005960280060159695,0.606811580816915
2023-12-26,19148.849609375,19173.80078125,19059.400390625,19095.0,22132200,19148.849609375,0.004941058871837489,0.49527572767116695
2023-12-27,19296.94921875,19312.30078125,19189.80078125,19219.400390625,20854200,19296.94921875,0.007734125673141801,0.800927819823375
2023-12-28,19399.25,19414.55078125,19313.099609375,19358.349609375,32391400,19399.25,0.005301396614061593,0.5347083630598973
2023-12-29,19429.150390625,19450.099609375,19338.349609375,19394.5,42430900,19429.150390625,0.0015413168357023554,0.12323368927908371
2024-01-02,19418.400390625,19499.80078125,19271.650390625,19496.80078125,40598500,19418.400390625,-0.0005532923356847963,-0.10598448594562418
2024-01-03,19367.150390625,19442.19921875,19343.150390625,19434.30078125,36356200,19367.150390625,-0.002639249318638126,-0.33425583114991947
2024-01-04,19541.25,19560.400390625,19433.5,19451.80078125,32459600,19541.25,0.008989428277444311,0.9382986364146586
2024-01-05,19590.599609375,19637.099609375,19490.94921875,19602.099609375,40342900,19590.599609375,0.0025254069916202937,0.23092506811837513
2024-01-08,19417.69921875,19641.849609375,19400.599609375,19636.0,35203500,19417.69921875,-0.008825681401923968,-1.0112521379804067
2024-01-09,19459.55078125,19596.05078125,19439.099609375,19549.5,37052500,19459.55078125,0.0021553306613992795,0.1904267153631736
2024-01-10,19517.849609375,19532.30078125,19354.099609375,19463.55078125,36103400,19517.849609375,0.0029958979413426956,0.2824120368704925
2024-01-11,19584.349609375,19626.5,19532.30078125,19589.75,33718400,19584.349609375,0.00340713763713274,0.32741499681959463
2024-01-12,19745.599609375,19775.900390625,19635.75,19691.25,31008900,19745.599609375,0.008233615270164973,0.8555881810675464
2024-01-15,19885.55078125,19896.900390625,19763.80078125,19876.5,35121900,19885.55078125,0.007087714460114691,0.7301894688608711
