Index Name,Date,Open,High,Low,Close
NIFTY 500,06-08-2024,22696.95,22910.75,22406.05,22443.3
NIFTY 500,07-08-2024,22773.45,22870.85,22650.8,22848.9
NIFTY 500,08-08-2024,22842.0,22905.6,22676.0,22705.7
NIFTY 500,09-08-2024,22948.15,22982.45,22869.4,22923.5
NIFTY 500,12-08-2024,22862.9,22993.25,22753.75,22915.85
NIFTY 500,13-08-2024,22952.7,22962.75,22684.45,22705.8
NIFTY 500,14-08-2024,22765.65,22778.95,22599.95,22672.65
NIFTY 500,16-08-2024,22846.1,23071.75,22750.3,23056.5
NIFTY 500,19-08-2024,23174.2,23195.6,23104.1,23139.75
NIFTY 500,20-08-2024,23223.6,23292.7,23175.4,23280.35
NIFTY 500,21-08-2024,23283.75,23383.2,23256.25,23368.65
NIFTY 500,22-08-2024,23467.15,23474.85,23408.95,23440.7
NIFTY 500,23-08-2024,23485.3,23496.85,23401.0,23418.65
NIFTY 500,26-08-2024,23514.3,23579.75,23466.75,23561.75
NIFTY 500,27-08-2024,23592.0,23633.2,23555.55,23604.85
NIFTY 500,28-08-2024,23646.8,23679.35,23547.25,23615.95
NIFTY 500,29-08-2024,23618.25,23664.35,23494.45,23631.4
NIFTY 500,30-08-2024,23728.55,23766.4,23673.95,23734.55
NIFTY 500,02-09-2024,23835.2,23835.2,23693.65,23760.7
NIFTY 500,03-09-2024,23817.0,23817.55,23771.2,23788.45
NIFTY 500,04-09-2024,23611.8,23761.4,23605.35,23748.9
NIFTY 500,05-09-2024,23821.0,23836.35,23749.05,23762.8
NIFTY 500,06-09-2024,23746.0,23794.35,23434.9,23477.7
NIFTY 500,09-09-2024,23452.85,23526.55,23294.45,23502.15
NIFTY 500,10-09-2024,23591.85,23712.95,23531.65,23643.65
NIFTY 500,11-09-2024,23665.1,23723.05,23498.15,23531.25
NIFTY 500,12-09-2024,23680.0,23934.6,23593.6,23907.35
NIFTY 500,13-09-2024,23966.5,23966.55,23885.2,23928.2
NIFTY 500,16-09-2024,24006.15,24026.0,23917.5,23968.2
NIFTY 500,17-09-2024,24008.25,24008.25,23912.55,23969.9
NIFTY 500,18-09-2024,23972.55,24000.3,23800.85,23898.65
