date,close,high,low,open,volume,adj_close
2024-04-03,32567.8203125,32654.66015625,32399.25,32492.220703125,2751800,32567.8203125
2024-04-04,32655.6796875,32832.3984375,32459.779296875,32810.5390625,3442300,32655.6796875
2024-04-05,32723.970703125,32751.6796875,32571.640625,32685.900390625,2833700,32723.970703125
2024-04-08,32890.83984375,32965.87109375,32815.58984375,32894.51171875,3581300,32890.83984375
2024-04-09,32848.16015625,33061.96875,32780.171875,33061.94921875,2461700,32848.16015625
2024-04-10,33045.80078125,33075.62890625,32907.26953125,32980.4609375,2284700,33045.80078125
2024-04-12,32772.26171875,33070.8515625,32755.4296875,33018.8203125,3133200,32772.26171875
2024-04-15,32365.109375,32588.119140625,32074.4609375,32074.4609375,3684800,32365.109375
2024-04-16,32269.58984375,32378.44921875,32114.08984375,32168.830078125,2850500,32269.58984375
2024-04-18,32097.359375,32559.19921875,32043.560546875,32434.25,2535400,32097.359375
2024-04-19,32199.48046875,32263.259765625,31654.7109375,31862.720703125,2637800,32199.48046875
2024-04-22,32489.880859375,32528.990234375,32327.01953125,32464.05078125,4232200,32489.880859375
2024-04-23,32589.5,32671.16015625,32552.76953125,32669.609375,5315000,32589.5
2024-04-24,32716.26953125,32785.96875,32679.140625,32710.640625,4587200,32716.26953125
2024-04-25,32929.33984375,32970.5703125,32644.94921875,32671.609375,22520400,32929.33984375
2024-04-26,32877.25,33047.8515625,32849.23828125,33023.05859375,7709800,32877.25
2024-04-29,33139.16015625,33156.76171875,32912.05078125,33034.9609375,5526900,33139.16015625
2024-04-30,33142.5703125,33381.6796875,33104.01171875,33245.62109375,3933300,33142.5703125
2024-05-02,33282.08984375,33349.76171875,33165.140625,33179.3984375,3506600,33282.08984375
2024-05-03,33078.62890625,33476.109375,32885.2890625,33462.6796875,4125800,33078.62890625
2024-05-06,32940.9296875,33244.5703125,32849.44921875,33242.19140625,3324400,32940.9296875
2024-05-07,32590.0703125,33011.19921875,32459.119140625,33007.73046875,4953200,32590.0703125
2024-05-08,32701.869140625,32798.51953125,32404.169921875,32504.1796875,4836900,32701.869140625
2024-05-09,32131.880859375,32762.609375,32095.859375,32762.609375,2656900,32131.880859375
2024-05-10,32334.650390625,32357.609375,32080.19921875,32215.140625,2507900,32334.650390625
2024-05-13,32412.119140625,32452.4609375,31897.0,32328.19921875,2195400,32412.119140625
2024-05-14,32674.669921875,32714.7890625,32406.08984375,32462.169921875,2629000,32674.669921875
2024-05-15,32755.08984375,32867.53125,32669.109375,32779.3515625,2013500,32755.08984375
2024-05-16,33056.87890625,33088.12890625,32643.150390625,32913.12109375,2260800,33056.87890625
2024-05-17,33267.48828125,33289.640625,33059.890625,33121.26171875,2940900,33267.48828125
2024-05-21,33456.671875,33520.5390625,33275.03125,33390.16015625,2886900,33456.671875
2024-05-22,33547.23046875,33598.109375,33326.87109375,33598.109375,3000600,33547.23046875
2024-05-23,33941.03125,33964.2109375,33562.859375,33615.51953125,4445900,33941.03125
2024-05-24,33931.48046875,34068.19140625,33873.48046875,33929.640625,8158000,33931.48046875
2024-05-27,33947.66015625,34136.87109375,33866.609375,34089.609375,4701600,33947.66015625
2024-05-28,33782.890625,34057.62109375,33724.30078125,34057.62109375,2796700,33782.890625
2024-05-29,33584.03125,33743.0703125,33572.19921875,33670.3515625,2538900,33584.03125
2024-05-30,33247.26953125,33590.421875,33165.46875,33558.12109375,6754200,33247.26953125
2024-05-31,33344.28125,33475.80078125,33206.0703125,33408.12109375,4647700,33344.28125
2024-06-03,34449.55078125,34634.55078125,34179.859375,34568.16015625,5802500,34449.55078125
2024-06-04,32132.9609375,34444.7890625,31041.5390625,34442.87890625,9051800,32132.9609375
2024-06-05,33289.71875,33345.55078125,31812.9609375,32560.060546875,5727300,33289.71875
2024-06-06,33779.98828125,33921.44921875,33515.62109375,33646.87109375,3949200,33779.98828125
2024-06-07,34402.69921875,34427.3984375,33726.109375,33828.109375,4287900,34402.69921875
2024-06-10,34463.5,34663.91015625,34395.8515625,34603.73828125,3659600,34463.5
2024-06-11,34539.4609375,34713.828125,34433.7890625,34586.1484375,3574300,34539.4609375
2024-06-12,34704.05078125,34810.62109375,34629.12890625,34669.1015625,3053000,34704.05078125
2024-06-13,34884.01171875,34959.05859375,34758.671875,34951.0390625,3408700,34884.01171875
