date,close,high,low,open,volume,adj_close
2023-10-20,17208.75,17295.05078125,17190.599609375,17258.30078125,25928300,17208.75
2023-10-23,16888.69921875,17224.80078125,16859.849609375,17204.75,25439800,16888.69921875
2023-10-25,16760.80078125,16967.099609375,16677.150390625,16912.400390625,24536000,16760.80078125
2023-10-26,16555.44921875,16689.099609375,16466.25,16678.69921875,25590800,16555.44921875
2023-10-27,16765.44921875,16793.099609375,16634.599609375,16636.05078125,21446600,16765.44921875
2023-10-30,16826.099609375,16837.80078125,16661.94921875,16784.94921875,20563300,16826.099609375
2023-10-31,16801.099609375,16910.0,16785.55078125,16909.69921875,18455500,16801.099609375
2023-11-01,16732.94921875,16834.099609375,16719.099609375,16808.5,23946000,16732.94921875
2023-11-02,16890.80078125,16903.75,16823.0,16849.94921875,22356100,16890.80078125
2023-11-03,17000.94921875,17027.44921875,16983.05078125,16990.349609375,24482900,17000.94921875
2023-11-06,17159.400390625,17168.75,17080.94921875,17105.349609375,18888700,17159.400390625
2023-11-07,17187.80078125,17200.599609375,17120.75,17170.349609375,21619300,17187.80078125
2023-11-08,17259.69921875,17269.25,17215.0,17242.650390625,23112000,17259.69921875
2023-11-09,17218.900390625,17288.599609375,17209.55078125,17284.94921875,21496900,17218.900390625
2023-11-10,17256.599609375,17274.900390625,17156.849609375,17189.69921875,16533000,17256.599609375
2023-11-13,17318.599609375,17339.150390625,17278.650390625,17335.0,22743900,17318.599609375
2023-11-15,17508.05078125,17518.900390625,17448.30078125,17493.30078125,27787100,17508.05078125
2023-11-16,17593.099609375,17668.650390625,17486.5,17518.099609375,22354800,17593.099609375
2023-11-17,17600.5,17649.05078125,17528.849609375,17537.44921875,29718400,17600.5
2023-11-20,17573.650390625,17636.400390625,17556.099609375,17618.55078125,21843200,17573.650390625
2023-11-21,17627.599609375,17665.0,17617.19921875,17644.5,20175000,17627.599609375
2023-11-22,17627.69921875,17654.599609375,17533.75,17637.44921875,18139100,17627.69921875
2023-11-23,17639.400390625,17693.25,17627.349609375,17654.150390625,16889200,17639.400390625
2023-11-24,17643.5,17684.150390625,17631.75,17661.30078125,18055700,17643.5
2023-11-28,17741.80078125,17760.0,17665.650390625,17701.05078125,22613200,17741.80078125
2023-11-29,17904.099609375,17911.349609375,17823.44921875,17831.650390625,22418200,17904.099609375
2023-11-30,17987.94921875,18007.099609375,17845.900390625,17926.900390625,46145900,17987.94921875
2023-12-01,18115.349609375,18141.650390625,18053.150390625,18061.80078125,24790000,18115.349609375
2023-12-04,18448.5,18460.0,18315.44921875,18422.349609375,29478500,18448.5
2023-12-05,18588.55078125,18594.900390625,18453.650390625,18541.30078125,28525000,18588.55078125
2023-12-06,18680.0,18698.80078125,18594.400390625,18677.25,27288500,18680.0
2023-12-07,18703.849609375,18721.80078125,18619.75,18696.75,32793000,18703.849609375
2023-12-08,18703.5,18785.69921875,18588.150390625,18752.25,35541800,18703.5
2023-12-11,18770.19921875,18780.44921875,18710.150390625,18726.349609375,29109900,18770.19921875
2023-12-12,18686.80078125,18819.69921875,18635.349609375,18809.900390625,33150900,18686.80078125
2023-12-13,18751.44921875,18770.44921875,18601.5,18723.69921875,29800900,18751.44921875
2023-12-14,18973.849609375,18996.25,18893.75,18906.400390625,39641300,18973.849609375
2023-12-15,19145.05078125,19165.099609375,19020.55078125,19071.94921875,40267000,19145.05078125
2023-12-18,19155.55078125,19201.55078125,19073.099609375,19149.150390625,34119200,19155.55078125
2023-12-19,19169.25,19213.55078125,19067.19921875,19212.55078125,29523800,19169.25
2023-12-20,18779.44921875,19303.599609375,18727.099609375,19264.400390625,38696000,18779.44921875
2023-12-21,18941.80078125,18965.80078125,18582.94921875,18647.849609375,30612700,18941.80078125
2023-12-22,19054.69921875,19089.94921875,18934.75,19011.25,26069600,19054.69921875
2023-12-26,19148.849609375,19173.80078125,19059.400390625,19095.0,22132200,19148.849609375
2023-12-27,19296.94921875,19312.30078125,19189.80078125,19219.400390625,20854200,19296.94921875
2023-12-28,19399.25,19414.55078125,19313.099609375,19358.349609375,32391400,19399.25
2023-12-29,19429.150390625,19450.099609375,19338.349609375,19394.5,42430900,19429.150390625
2024-01-02,19418.400390625,19499.80078125,19271.650390625,19496.80078125,40598500,19418.400390625
2024-01-03,19367.150390625,19442.19921875,19343.150390625,19434.30078125,36356200,19367.150390625
2024-01-04,19541.25,19560.400390625,19433.5,19451.80078125,32459600,19541.25
2024-01-05,19590.599609375,19637.099609375,19490.94921875,19602.099609375,40342900,19590.599609375
2024-01-08,19417.69921875,19641.849609375,19400.599609375,19636.0,35203500,19417.69921875
2024-01-09,19459.55078125,19596.05078125,19439.099609375,19549.5,37052500,19459.55078125
2024-01-10,19517.849609375,19532.30078125,19354.099609375,19463.55078125,36103400,19517.849609375
2024-01-11,19584.349609375,19626.5,19532.30078125,19589.75,33718400,19584.349609375
2024-01-12,19745.599609375,19775.900390625,19635.75,19691.25,31008900,19745.599609375
